,In113,In115,Xe134,Pr141,Nd142,Nd143,Nd144,Nd145,Nd146,Sm147,Nd148,Sm149,Nd150,Eu151,Sm152,Eu153,Sm154,Gd155,Gd156,Gd157,Gd158,Tb159,Gd160,Dy161,Dy162,Dy163,Dy164,Ho165,Er166,Er167,Er168,Tm169,Er170,Yb171,Yb172,Yb173,Yb174,Lu175,Yb176
Nd150,0,0,0,0,0.006,0.003,0.007,0.002,0.004,0,0.003,0,1,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0
Eu151,0,0,0,0,0,0,0,0,0,0,0,0,0.001,1,0.002,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sm152,0,0,0,0,0,0,0,0,0,0,1.00E-03,1.00E-03,0.002,0,1,0.002,0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eu153,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008,0.001,1,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sm154,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0,0,0.008,0,1,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gd155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.002,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0
Gd156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.01,1,0.031,0.01,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0
Gd157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gd158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.002,0.011,1,0.001,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0
Tb159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,1,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0
Gd160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.002,0.006,0.001,1,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001
Dy161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,1,0.03,0.011,0.006,0,0,0,0,0,0,0,0,0,0,0,0
